,SOURCE,TARGET,ALGOS,SPEED,MAE,MAPE,WAPE
0,Electricity,Electricity,Linear,12.53,296.928,0.421,0.112
1,Electricity,Electricity,DLinear,9.19,306.215,0.421,0.115
2,Electricity,Electricity,NLinear,8.28,266.611,0.147,0.100
3,Electricity,Electricity,PatchTST,32.05,260.523,0.150,0.098
4,Electricity,Electricity,NHiTS,10.56,275.297,0.187,0.103
5,Electricity,Electricity,NBEATS,9.12,1057.228,0.889,0.391
6,Electricity,Electricity,Informer,13.87,960.096,0.535,0.356
7,Electricity,Electricity,Pyraformer,19.99,1039.721,0.550,0.385
8,Electricity,Electricity,Crossformer,18.09,407.410,0.635,0.153
9,Electricity,Electricity,LSTNet,8.45,2779.570,11.616,1.050
10,Electricity,Electricity,FEDformer,13.30,339.825,0.261,0.129
11,Electricity,Electricity,Autoformer,34.29,644.452,0.472,0.231
12,ExchangeRate,ExchangeRate,Linear,0.24,0.045,0.465,0.060
13,ExchangeRate,ExchangeRate,DLinear,0.25,0.044,0.470,0.059
14,ExchangeRate,ExchangeRate,NLinear,0.25,0.033,0.051,0.044
15,ExchangeRate,ExchangeRate,PatchTST,0.44,0.035,0.051,0.047
16,ExchangeRate,ExchangeRate,NHiTS,0.30,0.032,0.051,0.043
17,ExchangeRate,ExchangeRate,NBEATS,0.56,0.085,0.313,0.114
18,ExchangeRate,ExchangeRate,Informer,1.29,0.092,0.191,0.122
19,ExchangeRate,ExchangeRate,Pyraformer,3.33,0.100,0.185,0.130
20,ExchangeRate,ExchangeRate,Crossformer,0.99,0.042,0.173,0.056
21,ExchangeRate,ExchangeRate,LSTNet,0.27,0.291,9.149,0.382
22,ExchangeRate,ExchangeRate,FEDformer,1.47,0.048,0.088,0.065
23,ExchangeRate,ExchangeRate,Autoformer,7.24,0.048,0.077,0.064
24,Weather,Weather,Linear,2.56,18.749,3.505,0.112
25,Weather,Weather,DLinear,2.70,18.990,3.654,0.114
26,Weather,Weather,NLinear,2.73,12.876,0.977,0.077
27,Weather,Weather,PatchTST,5.92,11.684,0.863,0.070
28,Weather,Weather,NHiTS,3.05,11.601,0.813,0.069
29,Weather,Weather,NBEATS,4.84,14.019,1.641,0.084
30,Weather,Weather,Informer,10.51,20.109,2.629,0.120
31,Weather,Weather,Pyraformer,25.45,20.755,2.956,0.124
32,Weather,Weather,Crossformer,7.98,12.170,1.360,0.073
33,Weather,Weather,LSTNet,2.78,192.184,85.137,1.151
34,Weather,Weather,FEDformer,11.70,29.472,4.658,0.177
35,Weather,Weather,Autoformer,54.98,31.719,5.792,0.190
36,ETTh1,ETTh1,Linear,0.55,1.970,0.959,0.410
37,ETTh1,ETTh1,DLinear,0.59,2.010,0.979,0.418
38,ETTh1,ETTh1,NLinear,0.60,2.007,0.931,0.417
39,ETTh1,ETTh1,PatchTST,0.97,1.972,0.910,0.410
40,ETTh1,ETTh1,NHiTS,0.70,2.026,0.941,0.420
41,ETTh1,ETTh1,NBEATS,1.32,3.119,1.570,0.644
42,ETTh1,ETTh1,Informer,3.12,3.123,1.249,0.640
43,ETTh1,ETTh1,Pyraformer,7.95,3.572,1.189,0.738
44,ETTh1,ETTh1,Crossformer,2.34,2.172,0.922,0.449
45,ETTh1,ETTh1,LSTNet,0.65,4.068,3.237,0.848
46,ETTh1,ETTh1,FEDformer,3.51,2.230,0.998,0.460
47,ETTh1,ETTh1,Autoformer,17.44,2.344,1.104,0.487
48,ETTm1,ETTm1,Linear,2.31,1.756,0.806,0.366
49,ETTm1,ETTm1,DLinear,2.45,1.763,0.801,0.368
50,ETTm1,ETTm1,NLinear,2.33,1.778,0.779,0.371
51,ETTm1,ETTm1,PatchTST,4.01,1.715,0.745,0.358
52,ETTm1,ETTm1,NHiTS,2.88,1.755,0.779,0.368
53,ETTm1,ETTm1,NBEATS,5.37,2.259,0.895,0.466
54,ETTm1,ETTm1,Informer,12.91,2.849,1.032,0.591
55,ETTm1,ETTm1,Pyraformer,32.63,3.562,1.224,0.737
56,ETTm1,ETTm1,Crossformer,9.73,1.843,0.817,0.387
57,ETTm1,ETTm1,LSTNet,2.64,3.859,3.119,0.808
58,ETTm1,ETTm1,FEDformer,14.45,2.098,0.779,0.431
59,ETTm1,ETTm1,Autoformer,71.75,2.098,0.788,0.433
60,ETTh2,ETTh2,Linear,0.56,3.263,0.377,0.201
61,ETTh2,ETTh2,DLinear,0.59,3.228,0.357,0.199
62,ETTh2,ETTh2,NLinear,0.57,2.924,0.289,0.182
63,ETTh2,ETTh2,PatchTST,0.97,3.103,0.318,0.194
64,ETTh2,ETTh2,NHiTS,0.67,3.198,0.324,0.197
65,ETTh2,ETTh2,NBEATS,1.30,5.523,0.768,0.347
66,ETTh2,ETTh2,Informer,3.12,5.219,0.785,0.331
67,ETTh2,ETTh2,Pyraformer,7.99,6.423,0.927,0.400
68,ETTh2,ETTh2,Crossformer,2.35,3.610,0.455,0.227
69,ETTh2,ETTh2,LSTNet,0.64,13.551,2.884,0.825
70,ETTh2,ETTh2,FEDformer,3.63,3.435,0.387,0.213
71,ETTh2,ETTh2,Autoformer,17.22,3.398,0.341,0.212
72,ETTm2,ETTm2,Linear,2.33,2.502,0.235,0.154
73,ETTm2,ETTm2,DLinear,2.48,2.533,0.241,0.156
74,ETTm2,ETTm2,NLinear,2.29,2.412,0.202,0.149
75,ETTm2,ETTm2,PatchTST,4.01,2.356,0.201,0.146
76,ETTm2,ETTm2,NHiTS,2.78,2.459,0.224,0.152
77,ETTm2,ETTm2,NBEATS,5.36,3.629,0.442,0.231
78,ETTm2,ETTm2,Informer,12.88,4.504,0.630,0.287
79,ETTm2,ETTm2,Pyraformer,32.83,7.364,0.892,0.456
80,ETTm2,ETTm2,Crossformer,9.59,3.118,0.339,0.195
81,ETTm2,ETTm2,LSTNet,2.65,13.557,2.746,0.825
82,ETTm2,ETTm2,FEDformer,16.11,2.637,0.217,0.162
83,ETTm2,ETTm2,Autoformer,65.40,2.659,0.214,0.163
84,BeijingAirQuality,BeijingAirQuality,Linear,1.11,24.077,1.653,0.524
85,BeijingAirQuality,BeijingAirQuality,DLinear,1.14,24.240,1.706,0.527
86,BeijingAirQuality,BeijingAirQuality,NLinear,1.10,24.217,0.918,0.531
87,BeijingAirQuality,BeijingAirQuality,PatchTST,1.97,23.272,0.797,0.507
88,BeijingAirQuality,BeijingAirQuality,NHiTS,1.37,24.335,1.368,0.532
89,BeijingAirQuality,BeijingAirQuality,NBEATS,2.05,25.326,1.079,0.568
90,BeijingAirQuality,BeijingAirQuality,Informer,6.52,25.805,1.007,0.574
91,BeijingAirQuality,BeijingAirQuality,Pyraformer,16.76,27.321,1.103,0.612
92,BeijingAirQuality,BeijingAirQuality,Crossformer,4.84,23.315,0.988,0.515
93,BeijingAirQuality,BeijingAirQuality,LSTNet,1.29,43.325,17.839,0.990
94,BeijingAirQuality,BeijingAirQuality,FEDformer,7.89,24.962,0.928,0.544
95,BeijingAirQuality,BeijingAirQuality,Autoformer,37.45,24.149,0.866,0.526
